metro_codes
BE004
BE005
BE007
BE009
PL010
PL004
PL508
PL030
PL506
PL016
PL049
PL511
PL019
PL516
PL033
PL044
PL018
CZ003
CZ017
UK008
UK003
UK006
UK010
UK097
UK005
UK007
UK004
UK068
UK070
UK020
UK059
UK046
UK056
UK087
UK089
UK084
UK099
UK050
UK100
UK057
UK054
UK047
UK057
UK024
UK048
UK049
UK022
UK090
UK051
UK080
UK063
UK074
UK052
UK053
UK065
UK083
UK073
UK060
UK095
UK033
US055
US035
US045
US038
US069
US081
US097
US106
US134
US107
US039
US065
US103
US117
US115
US141
US124
CA29
CA32
CA30
CA31
CA34
CA33
CA28
CA27
FR009
DE010
DE501
DE006
DE015
DE503
DE511
DE509
DE022
DE525
IT006
FR203 
