"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FR004","Toulouse","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.355,,
"FR006","Strasbourg","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,31031,,
"FR006","Strasbourg","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.35,,
"FR007","Bordeaux","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,30475,,
"FR007","Bordeaux","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.348,,
"FR008","Nantes","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,30539,,
"FR008","Nantes","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.344,,
"FR009","Lille","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,27829,,
"FR009","Lille","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.347,,
"FR010","Montpellier","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,28702,,
"FR010","Montpellier","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.353,,
"FR011","Saint-Étienne","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,24368,,
"FR011","Saint-Étienne","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.331,,
"FR013","Rennes","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,30787,,
"FR013","Rennes","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.346,,
"FR026","Grenoble","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,28652,,
"FR026","Grenoble","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.348,,
"FR032","Toulon","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,27002,,
"FR032","Toulon","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.333,,
"FR203","Marseille","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,27953,,
"FR203","Marseille","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.362,,
"FR205","Nice","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,29608,,
"FR205","Nice","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.357,,
"FR215","Rouen","EQU_HOU_DISP_INC","Equivalised household disposable income","2011","2011","USD","US Dollar","0","Units",,,26901,,
"FR215","Rouen","GINI_INC","Gini index","2011","2011","IDX","Index","0","Units",,,0.349,,
"HU001","Budapest","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,11464,,
"IT001","Rome","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,27188,,
"IT001","Rome","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.306,,
"IT002","Milan","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,31555,,
"IT002","Milan","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.314,,
"IT003","Naples","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,16938,,
"IT003","Naples","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.313,,
"IT004","Turin","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,27866,,
"IT004","Turin","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.32,,
"IT005","Palermo","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,17283,,
"IT005","Palermo","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.294,,
"IT006","Genova","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,27838,,
"IT006","Genova","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.304,,
"IT007","Florence","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,29586,,
"IT007","Florence","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.302,,
"IT008","Bari","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23702,,
"IT008","Bari","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.324,,
"IT009","Bologna","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,33033,,
"IT009","Bologna","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.308,,
"IT010","Catania","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,17606,,
"IT010","Catania","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.285,,
"IT011","Venice","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26758,,
"IT011","Venice","GINI_INC","Gini index","2013","2013","IDX","Index","0","Units",,,0.288,,
"JP003","Sapporo","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,22499,,
"JP013","Sendai","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26154,,
"JP015","Niigata","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23225,,
"JP020","Toyama","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,25828,,
"JP021","Nagano","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23307,,
"JP023","Kanazawa","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,25841,,
"JP024","Utsunomiya","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26117,,
"JP025","Maebashi","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23835,,
"JP026","Mito","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,25119,,
"JP030","Tokyo","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26351,,
"JP031","Kofu","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,22714,,
"JP034","Nagoya","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26235,,
"JP036","Numazu","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,25673,,
"JP038","Osaka","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23115,,
"JP039","Shizuoka","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,25045,,
"JP040","Anjo","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,28760,,
"JP042","Yokkaichi","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,24974,,
"JP046","Himeji","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,21267,,
"JP047","Toyohashi","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,24153,,
"JP048","Hamamatsu","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,24728,,
"JP050","Okayama","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23854,,
"JP051","Kurashiki","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,22939,,
"JP052","Fukuyama","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,22485,,
"JP053","Hiroshima","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,26879,,
"JP054","Takamatsu","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,24084,,
"JP055","Wakayama","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,20723,,
"JP059","Tokushima","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,21475,,
"JP064","Kitakyushu","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,21321,,
"JP065","Matsuyama","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,22125,,
"JP066","Fukuoka","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,23835,,
"JP067","Kochi","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,20817,,
"JP071","Oita","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,21431,,
"JP074","Kumamoto","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,20629,,
"JP075","Nagasaki","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,20602,,
"JP077","Kagoshima","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,20349,,
"JP078","Naha","EQU_HOU_DISP_INC","Equivalised household disposable income","2013","2013","USD","US Dollar","0","Units",,,15648,,
"MEX01","Mexicali","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,8212,,
"MEX01","Mexicali","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.44,,
"MEX02","Tijuana","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,8328,,
"MEX02","Tijuana","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.44,,
"MEX19","Monterrey","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,9726,,
"MEX19","Monterrey","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.44,,
"MEX20","Torreón","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,6475,,
"MEX20","Torreón","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.45,,
"MEX29","San Luis Potosí","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,7160,,
"MEX29","San Luis Potosí","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.47,,
"MEX33","Benito Juárez","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,8203,,
"MEX33","Benito Juárez","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.45,,
"MEX35","Mérida","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,6956,,
"MEX35","Mérida","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.47,,
"MEX38","Irapuato","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,6567,,
"MEX38","Irapuato","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.46,,
"MEX59","Veracruz","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,8770,,
"MEX59","Veracruz","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.47,,
"MEX73","Oaxaca de Juárez","EQU_HOU_DISP_INC","Equivalised household disposable income","2010","2010","USD","US Dollar","0","Units",,,8029,,
"MEX73","Oaxaca de Juárez","GINI_INC","Gini index","2010","2010","IDX","Index","0","Units",,,0.49,,
