"id","description","id.1","label","id.2","label.1","id.3","label.2","id.4","label.3","id.5","label.4","id.6","label.5","id.7","label.6","id.8","label.7","id","label"
"","","CL02","Antofagasta","","","","","","","","","PKM","Passenger-kilometres","","","1997","1997","",""
"","","CL03","Atacama","","","","","","","","","1000HAB","Per 1 000 inhabitants","","","1996","1996","",""
"","","CL04","Coquimbo","","","","","","","","","100000HAB","Per 100 000 inhabitants","","","1995","1995","",""
"","","CL05","Valparaíso","","","","","","","","","100HAB","Per 100 inhabitants","","","1994","1994","",""
"","","CL06","O'Higgins","","","","","","","","","PC_PNT","Percentage points","","","1993","1993","",""
"","","CL07","Maule","","","","","","","","","PER","Persons","","","1992","1992","",""
"","","CL08","Bío-Bío","","","","","","","","","3","TIME","","","1991","1991","",""
"","","CL09","Araucanía","","","","","","","","","DAY","Days","","","1990_100","1990=100","",""
"","","CL10","Los Lagos","","","","","","","","","HOUR","Hours","","","2011_12","2011-12","",""
"","","CL11","Aysén","","","","","","","","","HPYPP","Hours per year per person","","","2004_05","2004-05","",""
"","","CL12","Magallanes y Antártica","","","","","","","","","MONTH","Months","","","1995_96","1995-96","",""
"","","CL13","Santiago Metropolitan","","","","","","","","","YR","Years","","","2012_13","2012-13","",""
"","","CL14","Los Rios","","","","","","","","","MPD","Minutes per day","","","2009_10","2009-10","",""
"","","CL15","Arica Y Parinacota","","","","","","","","","WEEK","Weeks","","","2014_100","2014=100","",""
"","","CZE","Czech Republic","","","","","","","","","DPYPP","Days per year per person","","","USA_100","USA=100","",""
"","","CZ01","Prague","","","","","","","","","LT_HAB","Litres per capita","","","2014","2014","",""
"","","CZ02","Central Bohemian Region","","","","","","","","","KCAL_HAB","Kilocalories per capita","","","2007Q1_100","2007Q1=100","",""
"","","CZ03","Southwest","","","","","","","","","G_HAB","Grams per capita","","","2013_14","2013-14","",""
"","","CZ04","Northwest","","","","","","","","","BAR_DAY","Barrels per day","","","2011-12_100","2011-12=100","",""
"","","CZ05","Northeast","","","","","","","","","BAR","Barrels","","","2010M12_100","2010M12=100","",""
"","","CZ06","Southeast","","","","","","","","","KOE_HAB","Kilograms of oil equivalent per capita","","","1982-84_100","1982-84=100","",""
"","","CZ07","Central Moravia","","","","","","","","","MICRO_M3","Micrograms per cubic metre","","","1980_100","1980=100","",""
"","","CZ08","Moravia-Silesia","","","","","","","","","TONNE_1000USD","Tonnes per 1 000 US dollars","","","1993M12_100","1993M12=100","",""
"","","DNK","Denmark","","","","","","","","","GWH","Gigawatt hours","","","2000M12_100","2000M12=100","",""
"","","DK01","Capital (DK)","","","","","","","","","KG_1000USD","Kilograms per 1 000 US dollars","","","2006M12_100","2006M12=100","",""
"","","DK02","Zealand","","","","","","","","","MICRO_L","Micrograms per litre","","","2006Q2_100","2006Q2=100","",""
"","","DK03","Southern Denmark","","","","","","","","","MILLI_L","Milligrams per litre ","","","2008M12_100","2008M12=100","",""
"","","DK04","Central Jutland","","","","","","","","","T_CO2_EQVT","Tonnes of CO2 equivalent","","","2011M12_100","2011M12=100","",""
"","","DK05","Northern Jutland","","","","","","","","","4","PHYSICAL MEASURES","","","2012M12_100","2012M12=100","",""
"","","EST","Estonia","","","","","","","","","CAR","Carats","","","2015","2015","",""
"","","EE00","Estonia","","","","","","","","","CUR","Curies","","","2015_100","2015=100","",""
"","","FIN","Finland","","","","","","","","","KG","Kilograms","","","2015M12_100","2015M12=100","",""
"","","FI19","Western Finland","","","","","","","","","KG_HAB","Kilograms per capita","","","2015M06_100","2015M06=100","",""
"","","FI1B","Helsinki-Uusimaa","","","","","","","","","KM","Kilometres","","","LTAVG_100","Long-term average=100","",""
"","","FI1C","Southern Finland","","","","","","","","","KM2","Square kilometres","","","2014M12_100","2014M12=100","",""
"","","FI1D","Eastern and Northern Finland","","","","","","","","","HA","Hectares","","","2014_15","2014-15","",""
"","","FI20","Åland","","","","","","","","","KW","Kilowatts","","","2016M12_100","2016M12=100","",""
"","","FRA","France","","","","","","","","","KWH","Kilowatt hours","","","2016","2016","",""
"","","FR10","Ile de France","","","","","","","","","LT","Litres","","","2016_100","2016=100","",""
"","","FR21","Champagne-Ardenne","","","","","","","","","M2","Square metres","","","2015_16","2015-16","",""
"","","FR22","Picardy","","","","","","","","","M3","Cubic metres","","","2017","2017","",""
"","","FR23","Upper Normandy","","","","","","","","","M3CAP","Cubic metres per capita","","","2017_100","2017=100","",""
"","","FR24","Centre (FR)","","","","","","","","","METRE","Metres","","","2017M12_100","2017M12=100","",""
"","","FR25","Lower Normandy ","","","","","","","","","TWH","Terawatt hours","","","2011Q3_100","2011Q3=100","",""
"","","FR26","Burgundy","","","","","","","","","TONNE","Tonnes","","","2008M1_100","2008M1=100","",""
"","","FR30","Nord-Pas-de-Calais","","","","","","","","","TONNEKM","Tonnes-kilometres","","","2017Q2_100","2017Q2=100","",""
